,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANTIEXPLOSIVAS,,,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-EXB5218-Z,,2MP 18x Explosion Proof,CYGNUS,"1415,45","1840,70","1981,98",21,0,0,0,0,0,0,0
CY-EXB22MAHD-IR-4,,2MP AHD Explosion Proof,CYGNUS,"1159,90","1507,87","1734,05",21,0,0,0,0,0,0,0
CY-EXB22M-IR-12-P,,2MP IR 4.0 ATEX,CYGNUS,"1159,90","1507,87","1734,05",21,0,0,0,0,0,0,0
CY-EX3BOX,,Box 3 Conexiones ,CYGNUS,"58,00","75,39","86,70",21,1,3,6,0,0,0,10
CY-EX4BOX,,Box 4 Conexiones,CYGNUS,"154,64","201,23","239,00",21,0,0,0,0,0,0,0
CY-EXC18100,,Cable Conduit Flexible,CYGNUS,"48,33","62,83","72,25",21,0,0,0,0,0,0,0
CY-EXPTZ230-IR,,Camara ATEX PTZ 2Mpx 30x ,CYGNUS,"7846,36","10210,88","10712,22",21,0,0,0,0,0,0,0
CY-EXH5000-T200,,Housing con Refrigeracion,CYGNUS,"1256,56","1633,53","1878,56",21,3,0,0,0,0,0,3
CY-EXB5218K-Z,,IP Bullet Antiexplosiva,CYGNUS,"2024,99","2635,13","2839,88",21,0,0,0,0,0,0,0
CY-EXB22M-IR-4-P,,IPC 2Mp 4.0 IR ATEX,CYGNUS,"1159,90","1507,87","1734,05",21,0,0,0,0,0,0,0
CY-EXB22M-IR-12-12VDC,,IPC 2MP IR ATEX,CYGNUS,"1159,90","1507,87","1734,05",21,0,0,0,0,0,0,0
CY-EX304SOP,,Soporte de pared para cám,CYGNUS,"110,05","143,12","155,61",21,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
ANTIEXPLOSIVAS,,CYGNUS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-EXB22M-IR-4-12VDC,,2MP IR Explosion Proof,CYGNUS,"1159,90","1507,87","1734,05",21,0,0,0,0,0,0,0
CY-EXPTZ230-IR-316L,,ATEX marítimo PTZ 2MP 30x,CYGNUS,"8527,49","11097,45","12762,07",21,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
ANTIEXPLOSIVAS,,HIKVISION,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
DS-2XE6025G0-I-040-B,,2MP IR Explosion Proof,HIKVISION,"521,00","679,00","943,00",21,0,0,0,0,0,0,0
DS-2XE6442F-IZHRS-0832-D,,4MP EXIR 316L VariFocal,HIKVISION,"2783,00","3628,00","5039,00",21,0,0,0,0,0,0,0
DS-2XT6445G2-L-C08-040,,4MP HighTemperature,HIKVISION,"637,00","830,00","1153,00",21,0,0,0,0,0,0,0
DS-2XT6685G0-LIZS-C25-0832,,8MP High Temperature,HIKVISION,"1349,00","1758,00","2442,00",21,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
ANTIEXPLOSIVAS,,ACCESORIOS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
ZANXG-1.0,,Explosion-proof Flexible ,DAHUA,"5,90","5,90","5,90",21,1,0,0,0,0,0,1
CZ300,,Explosion-proof Junction ,DAHUA,"0,00","0,00","0,00",21,1,0,0,0,0,0,1
,,,,,,,,,,,,,,
ANTIEXPLOSIVAS,,DAHUA SOPORTES,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
ZAEX02,,Explosion-proof Stuffing ,DAHUA,"23,60","23,60","23,60",21,2,0,0,0,0,0,2
EXB109,,Soporte de pared ATC Acer,DAHUA,"17,94","17,94","17,94",21,1,0,0,0,0,0,1
