,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ARMAS y DRONES,,ACCESORIOS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
BY-CO2-12G,,10u CARTUCHOS CO2 12g,BYRNA,"20,98","21,00","21,00",21,13,0,0,0,0,7,20
BY-CO2-8G,,GARRAFA DE Co2 BYRNA 8g. ,BYRNA,"34,41","40,64","40,64",21,4,0,1,1,0,1,7
BY-KIN-25,,PROYECTIL KINETIC 25u,BYRNA,"12,59","12,60","12,60",21,0,0,0,0,0,1,1
BY-JB68,,Proyectil Pepper x 5 Unid,BYRNA,"999,00","56,00","62,88",21,19,0,0,0,0,0,19
BY-KIN-95,,PROYECTILES KINETIC 95u,BYRNA,"62,94","73,50","73,50",21,0,0,0,0,0,0,0
BY-PEP-25,,PROYECTILES PEPPER 25u,BYRNA,"194,06","226,80","226,80",21,0,0,1,3,1,2,7
BY-IP683,,Proyectiles Training 95u,BYRNA,"28,00","28,00","28,00",21,10,0,0,0,0,0,10
,,,,,,,,,,,,,,
ARMAS y DRONES,,PISTOLAS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
BY-SD-NAR,,BYRNA SD SECURITY BOX,BYRNA,"729,27","775,00","813,00",21,3,1,1,1,1,1,8
BY-HOLSTER-L2,,Holster para BYRNA SD L2 ,BYRNA,"141,61","160,65","160,65",21,2,5,1,0,0,0,8
BY-MC,,Porta Cargador BYRNA,BYRNA,"100,70","117,60","118,12",21,6,5,1,0,0,2,14
BY-TCR,,TCR - Pro Bundle - Orange,BYRNA,"1584,96","1648,50","1648,50",21,25,0,0,0,0,1,26
