,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CERCO PERIMETRAL,,ACCESORIOS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
70A9009-2,,Aislador Doble Perno 25u,ALARI,"8,73","10,47","12,04",21,0,0,0,0,0,0,0
70A9009-3,,Aislador Doble Perno 25u,ALARI,"4,15","4,98","5,73",21,0,0,0,0,0,70,70
70A9007,,Aislador Intermedio W x25,ALARI,"3,27","3,93","4,52",21,2,0,0,0,0,8,10
70A9008,,Aislador Perno Simple 25u,ALARI,"3,27","3,93","4,52",21,1,0,0,0,0,0,1
70A9005-2,,Aislador Roscado,ALARI,"6,18","9,10","8,53",21,2,0,0,0,0,243,245
70FLEX-D-TEC 1,,Anti Flexion Cerco,ALARI,"1,23","1,47","1,96",21,0,0,0,0,0,0,0
70FLEX-D-TEC 2,,Anti Flexion Cerco,ALARI,"1,23","1,47","1,70",21,0,0,0,0,0,0,0
70FLEX-D-TEC 3,,Anti Flexion Cerco,ALARI,"1,23","1,47","1,70",21,0,0,0,0,0,0,0
70FLEX-D-TEC 4,,Anti Flexion Cerco,ALARI,"1,23","1,47","1,70",21,0,0,0,0,0,0,0
70FLEX-D-TEC 5,,Anti Flexion Cerco,CYGNUS,"1,23","1,47","1,70",21,0,0,0,0,0,0,0
70S010,,Cartel Cerco Electrico,ALARI,"1,40","1,55","1,71",21,9,0,0,0,0,70,79
70CONTROL-R,,Control Remoto MJ1,ALARI,"7,60","9,12","10,49",21,0,0,0,0,0,0,0
70EMPALME,,Empalme Aluminio Cerco,ALARI,"10,18","12,22","14,05",21,0,0,0,0,0,46,46
706PA40,,Llave de Corte Retractil,ALARI,"10,18","12,22","14,05",21,0,0,0,0,0,0,0
70SR2,,Resorte Inox Industrial,ALARI,"87,27","104,73","120,44",21,0,0,0,0,0,0,0
70SR3,,Resorte Inox Residencial,ALARI,"38,40","40,95","44,16",21,2,0,0,0,0,4,6
70SR4,,Resorte Zinc Residencial,ALARI,"35,64","42,76","49,18",21,1,0,0,0,0,25,26
70VODIGI,,Voltimetro Cerco Elec,ALARI,"33,45","40,15","46,17",21,1,0,0,0,0,1,2
,,,,,,,,,,,,,,
CERCO PERIMETRAL,,ALARMA,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
70ALARIJ01,,Alari MJ1 Residencial,ALARI,"99,25","119,10","136,97","10,5",2,0,0,0,0,105,107
70ALARIJ02,,ALARI MJ2 - Industrial,ALARI,"116,41","139,69","160,64","10,5",0,0,0,0,0,2,2
,,,,,,,,,,,,,,
CERCO PERIMETRAL,,CABLES,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
70CM106,,Cable Acero Galv 1.2mm,ALARI,"57,82","69,38","79,79",21,2,0,0,0,0,15,17
70AVS50-18,,Cable Alta Tension Cerco,ALARI,"13,09","15,71","18,07",21,2,0,0,0,0,22,24
70AVSFLEX,,Cable Alta Tension Cerco,ALARI,"15,64","18,76","21,58",21,0,0,0,0,0,8,8
