,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COMUNICACIONES,,ROUTERS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
VIGOR-3910,,10G MultiWan VPN Router,DRAYTEK,"1950,00","1950,00","2235,00","10,5",0,2,0,0,0,0,2
VIGOR-AP903,,AP Business Mesh 5xrj45,DRAYTEK,"350,00","350,00","350,00","10,5",6,2,0,0,0,1,9
VIGOR-AP906,,AP Wireless 5x Gb LAN ,DRAYTEK,"420,00","420,00","463,00","10,5",7,1,0,0,0,1,9
VIGOR-AP912C,,AP Wireless Dual Band,DRAYTEK,"320,00","320,00","365,00","10,5",3,2,0,0,0,1,6
VIGOR-2927AC,,Dual WAN Firewall Router,DRAYTEK,"720,00","720,00","820,00","10,5",0,0,0,0,0,0,0
VIGOR-2962,,Dual-WAN Router,DRAYTEK,"990,00","990,00","1244,00","10,5",0,1,0,0,0,0,1
VIGOR-2927,,Dual-WAN VPN Firewall,DRAYTEK,"571,00","571,00","671,00","10,5",0,0,0,0,0,0,0
VIGOR-2927AX,,Dual-WAN VPN Firewall ,DRAYTEK,"810,00","810,00","910,00","10,5",0,2,0,0,0,0,2
VIGOR-2915AC,,Home/SOHO DualWAN Router,DRAYTEK,"490,00","490,00","559,00","10,5",0,0,0,0,0,0,0
,,,,,,,,,,,,,,
COMUNICACIONES,,,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-S7024,,24P Modular SFP/RJ45 +2Gb,CYGNUS,"327,00","455,00","590,00","10,5",114,5,0,0,0,0,119
CY-RAP2-P,,AP PoE 2.4G 300Mb CYGNUS ,CYGNUS,"24,00","25,00","35,00","10,5",87,6,1,3,0,6,103
CY-S7024-8F,,CYGNUS Módulo de 8 puerto,CYGNUS,"233,73","304,16","349,16","10,5",1,0,0,0,0,0,1
CY-S7024-8T,,CYGNUS Módulo de 8 puerto,CYGNUS,"120,00","170,00","210,00","10,5",113,82,0,0,0,0,195
,,,,,,,,,,,,,,
COMUNICACIONES,,SWITCH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-MC-GB,,Media converter SFP 10/10,CYGNUS,"35,00","45,00","53,00",21,544,3,0,0,0,5,552
,,,,,,,,,,,,,,
COMUNICACIONES,,PLACA EXPANSION,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
D30,,Placa expansora 100user,YEASTAR,"195,00","254,00","275,00","10,5",0,0,0,0,0,0,0
