,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CURSOS,,DIGIFORT,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CERT-DIGI- LPR,,DIGIFORT - Curso LPR,DIGIFORT,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
CERT-DIGI-VMS,,DIGIFORT - Curso VMS,DIGIFORT,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
CURSOS,,DRONES,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
DRON-AGRI-AVAN,,DRONES - Agricultura,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-CAM-MULTI,,DRONES - MultiEspectral,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-ESP-CRIMI,,DRONES- Criminalistica,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON- ESP-FOTO,,DRONES- Fotogrametrías,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-TRANSP-CYP,,DRONES- Logistica,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-MOE-JUR,,DRONES- Manual Jurídica,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-ESP- PERIT,,DRONES- Peritaje Drones,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON- SEG-OBRAS,,DRONES- Seguimiento Obras,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-VUELO-TACT,,DRONES- Vuelo Tactico,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-CAM-TERM,,DRONES-Camara Termica,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-MANT-DRON,,Mantenimiento de Drones,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-PRO-FIJAAB,,Piloto Ala Fija A/B,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-MULTR-AB,,Piloto Multirotor A/B,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-MULTIR-C,,Piloto Multirotor C,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-MULTR-D,,Piloto Multirotor D,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
DRON-MULTIR-E,,Piloto Multirotor E,DRONES VIP,"0,00","0,00","0,00",0,0,0,0,0,0,0,0
