,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INCENDIO,,ALARMA,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
HY-1310-CTXF,,Addressable Heat Detector,DAHUA,"3,89","3,89","3,89",21,1,0,0,0,0,0,1
HY-GC20B-R8,,Alarma Monoxido Carbono,DAHUA,"20,06","20,06","20,06",21,1,0,0,0,0,0,1
HY-SA40A,,Standalone Smoke Alarm,DAHUA,"7,67","7,67","7,67",21,1,0,0,0,0,0,1
HY-HT10A-R8,,Wireless Interconnected H,DAHUA,"8,50","8,50","8,50",21,1,0,0,0,0,0,1
,,,,,,,,,,,,,,
INCENDIO,,,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
JE-50,,Matafuegos Portatil,CYGNUS,"18,20","23,66","27,21","10,5",401,25,0,10,0,3,439
