,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KITS,,WIRELESS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
NKS422W02H,,2MP KIT WiFi PROMO,HIKVISION,"82,00","87,00","98,00",21,167,0,0,3,0,3,173
NKS422W03H,,2MP WiFi KIT PROMO ,HIKVISION,"69,75","84,75","102,75",21,40,0,0,20,0,7,67
DS-J142I-NKS422W0H,,2MP WiFi NVS Kit PROMO,HIKVISION,"59,25","72,75","87,75",21,113,0,0,18,0,4,135
NKS424W03H,,4MP KIT WiFi PROMO ,HIKVISION,"74,25","90,75","108,75",21,69,0,0,0,0,8,77
DS-J142I-NKS424W02H,,4MP WiFi KIT PROMO ,HIKVISION,"66,00","81,00","96,75",21,54,0,0,0,0,5,59
NKS424W0H,,4MP WiFi NVS Kit PROMO,HIKVISION,"65,25","79,50","95,25",21,47,0,0,0,0,3,50
,,,,,,,,,,,,,,
KITS,,KITS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
DS-J142I-NKS422W03H,,2MP NVS KIT PROMO,HIKVISION,"69,75","84,75","102,75",21,45,0,0,1,0,4,50
,,,,,,,,,,,,,,
KITS,,,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-KIT-NVR-WIFI-4B,,Kit de 4 Cámaras IP 2Mpx ,CYGNUS,"462,28","578,22","653,60",21,33,5,0,0,0,0,38
CY-KIT4-UTP,,Kit XVR y 4 cámaras HDCVI,CYGNUS,"0,00","0,00","0,00",21,8,0,0,0,0,0,8
CY-KIT4-CV,,Kit XVR y 4 cámaras HDCVI,CYGNUS,"0,00","0,00","0,00",21,16,0,0,0,0,0,16
